date,step,,,,,
1/1/20 1:11,18,,,,,
1/1/20 1:20,12,,,,,
1/1/20 1:21,15,,,,,
1/1/20 1:22,4,,,,,
1/1/20 1:55,3,,,,,
1/1/20 12:23,86,,,,,
1/1/20 12:40,112,,,,,
1/1/20 13:29,135,,,,,
1/1/20 13:46,71,,,,,
1/1/20 14:18,192,,,,,
1/1/20 14:30,89,,,,,
1/1/20 14:42,31,,,,,
1/1/20 15:09,29,,,,,
1/1/20 15:46,8,,,,,
1/1/20 18:00,296,,,,,
1/1/20 18:05,61,,,,,
1/1/20 18:20,267,,,,,
1/1/20 20:23,17,,,,,
1/1/20 20:38,22,,,,,
1/1/20 21:26,366,,,,,
1/1/20 21:34,305,,,,,
1/1/20 21:39,233,,,,,
1/1/20 21:57,303,,,,,
1/1/20 22:03,125,,,,,
1/1/20 23:20,266,,,,,
1/1/20 23:21,18,,,,,
1/1/20 23:22,12,,,,,
1/1/20 23:22,4,,,,,
1/1/20 23:22,3,,,,,
1/1/20 23:22,1,,,,,
1/1/20 23:39,20,,,,,
1/1/20 23:39,6,,,,,
1/1/20 23:39,11,,,,,
1/1/20 23:39,9,,,,,
1/1/20 23:40,16,,,,,
1/1/20 23:41,16,,,,,
1/2/20 11:43,16,,,,,
1/2/20 12:34,52,,,,,
1/2/20 13:09,18,,,,,
1/2/20 13:21,32,,,,,
1/2/20 13:23,27,,,,,
1/2/20 13:42,9,,,,,
1/2/20 15:20,13,,,,,
1/2/20 15:30,438,,,,,
1/2/20 15:31,70,,,,,
1/2/20 16:36,68,,,,,
1/2/20 16:37,62,,,,,
1/2/20 16:50,454,,,,,
1/2/20 17:00,373,,,,,
1/2/20 17:09,115,,,,,
1/2/20 17:09,2,,,,,
1/2/20 17:58,39,,,,,
1/2/20 18:45,14,,,,,
1/2/20 18:54,74,,,,,
1/2/20 19:40,34,,,,,
1/2/20 20:20,36,,,,,
1/2/20 20:22,39,,,,,
1/2/20 21:40,39,,,,,
1/2/20 21:49,277,,,,,
1/2/20 22:07,24,,,,,
1/2/20 22:07,4,,,,,
1/2/20 22:16,15,,,,,
1/2/20 22:16,12,,,,,
1/2/20 23:03,15,,,,,
1/2/20 23:04,16,,,,,
1/2/20 23:05,10,,,,,
1/2/20 23:05,5,,,,,
1/2/20 23:05,9,,,,,
1/2/20 23:05,7,,,,,
1/2/20 23:05,9,,,,,
1/2/20 23:05,10,,,,,
1/2/20 23:05,9,,,,,
1/2/20 23:05,9,,,,,
1/2/20 23:05,10,,,,,
1/2/20 23:05,5,,,,,
1/2/20 23:06,9,,,,,
1/2/20 23:06,5,,,,,
1/2/20 23:06,6,,,,,
1/2/20 23:06,9,,,,,
1/2/20 23:06,8,,,,,
1/2/20 23:06,7,,,,,
1/2/20 23:06,7,,,,,
1/2/20 23:06,24,,,,,
1/2/20 23:07,7,,,,,
1/3/20 10:45,10,,,,,
1/3/20 11:53,178,,,,,
1/3/20 12:17,10,,,,,
1/3/20 12:17,10,,,,,
1/3/20 12:17,8,,,,,
1/3/20 12:17,12,,,,,
1/3/20 12:18,10,,,,,
1/3/20 12:18,10,,,,,
1/3/20 12:18,10,,,,,
1/3/20 12:18,10,,,,,
1/3/20 12:18,10,,,,,
1/3/20 12:18,9,,,,,
1/3/20 12:18,5,,,,,
1/3/20 12:18,13,,,,,
1/3/20 12:18,7,,,,,
1/3/20 12:18,3,,,,,
1/3/20 12:20,10,,,,,
1/3/20 12:20,5,,,,,
1/3/20 12:20,4,,,,,
1/3/20 12:21,3,,,,,
1/3/20 12:48,31,,,,,
1/3/20 12:58,133,,,,,
1/3/20 13:05,11,,,,,
1/3/20 13:21,14,,,,,
1/3/20 13:21,4,,,,,
1/3/20 13:21,7,,,,,
1/3/20 13:21,10,,,,,
1/3/20 13:21,9,,,,,
1/3/20 13:21,2,,,,,
1/3/20 13:21,6,,,,,
1/3/20 13:22,11,,,,,
1/3/20 13:22,10,,,,,
1/3/20 13:22,9,,,,,
1/3/20 13:22,10,,,,,
1/3/20 13:22,6,,,,,
1/3/20 13:22,10,,,,,
1/3/20 13:22,10,,,,,
1/3/20 13:22,10,,,,,
1/3/20 13:22,9,,,,,
1/3/20 13:22,12,,,,,
1/3/20 13:23,13,,,,,
1/3/20 13:24,13,,,,,
1/3/20 13:31,13,,,,,
1/3/20 14:48,28,,,,,
1/3/20 16:48,259,,,,,
1/3/20 17:14,516,,,,,
1/3/20 17:18,143,,,,,
1/3/20 17:35,159,,,,,
1/3/20 17:44,305,,,,,
1/3/20 17:55,95,,,,,
1/3/20 18:13,306,,,,,
1/3/20 18:18,369,,,,,
1/3/20 19:00,18,,,,,
1/3/20 19:01,20,,,,,
1/3/20 19:05,158,,,,,
1/3/20 19:43,18,,,,,
1/3/20 19:43,11,,,,,
1/3/20 19:43,10,,,,,
1/3/20 19:44,4,,,,,
1/3/20 19:44,7,,,,,
1/3/20 19:57,145,,,,,
1/3/20 20:16,290,,,,,
1/3/20 20:24,54,,,,,
1/3/20 20:34,50,,,,,
1/3/20 20:48,42,,,,,
1/3/20 21:30,108,,,,,
1/3/20 21:39,198,,,,,
1/3/20 21:52,13,,,,,
1/3/20 21:52,8,,,,,
1/3/20 21:52,7,,,,,
1/3/20 21:52,9,,,,,
1/3/20 21:53,7,,,,,
1/3/20 21:53,9,,,,,
1/3/20 21:53,6,,,,,
1/3/20 21:53,4,,,,,
1/3/20 21:54,8,,,,,
1/3/20 22:07,12,,,,,
1/3/20 22:08,11,,,,,
1/3/20 22:08,11,,,,,
1/3/20 22:08,10,,,,,
1/3/20 22:08,4,,,,,
1/3/20 22:28,26,,,,,
1/3/20 22:59,18,,,,,
1/3/20 23:22,31,,,,,
1/4/20 12:14,28,,,,,
1/4/20 12:29,89,,,,,
1/4/20 12:36,36,,,,,
1/4/20 13:24,24,,,,,
1/4/20 13:27,16,,,,,
1/4/20 13:27,9,,,,,
1/4/20 13:39,58,,,,,
1/4/20 13:46,148,,,,,
1/4/20 13:50,9,,,,,
1/4/20 14:00,32,,,,,
1/4/20 14:15,53,,,,,
1/4/20 14:29,62,,,,,
1/4/20 14:37,116,,,,,
1/4/20 14:50,20,,,,,
1/4/20 15:14,227,,,,,
1/4/20 15:16,24,,,,,
1/4/20 15:35,130,,,,,
1/4/20 15:52,11,,,,,
1/4/20 16:24,12,,,,,
1/4/20 16:24,15,,,,,
1/4/20 16:24,9,,,,,
1/4/20 16:24,2,,,,,
1/4/20 16:26,2,,,,,
1/4/20 16:26,3,,,,,
1/4/20 16:42,630,,,,,
1/4/20 16:55,109,,,,,
1/4/20 17:05,30,,,,,
1/4/20 17:24,929,,,,,
1/4/20 17:26,255,,,,,
1/4/20 18:03,277,,,,,
1/4/20 18:15,246,,,,,
1/4/20 18:19,16,,,,,
1/4/20 18:19,6,,,,,
1/4/20 18:19,4,,,,,
1/4/20 18:22,56,,,,,
1/4/20 19:03,72,,,,,
1/4/20 19:50,69,,,,,
1/4/20 19:52,126,,,,,
1/4/20 21:03,28,,,,,
1/4/20 21:20,12,,,,,
1/4/20 22:17,59,,,,,
1/4/20 22:22,27,,,,,
1/4/20 22:37,12,,,,,
1/4/20 22:38,12,,,,,
1/4/20 22:38,8,,,,,
1/4/20 22:39,8,,,,,
1/4/20 22:39,7,,,,,
1/4/20 22:39,6,,,,,
1/4/20 22:55,2,,,,,
1/4/20 23:31,56,,,,,
1/5/20 0:01,76,,,,,
1/5/20 0:37,31,,,,,
1/5/20 1:13,8,,,,,
1/5/20 11:40,16,,,,,
1/5/20 13:05,188,,,,,
1/5/20 13:25,10,,,,,
1/5/20 13:30,16,,,,,
1/5/20 14:29,291,,,,,
1/5/20 14:47,297,,,,,
1/5/20 15:05,28,,,,,
1/5/20 15:13,82,,,,,
1/5/20 17:24,156,,,,,
1/5/20 17:34,432,,,,,
1/5/20 17:44,983,,,,,
1/5/20 17:54,822,,,,,
1/5/20 18:04,565,,,,,
1/5/20 18:05,9,,,,,
1/5/20 18:05,11,,,,,
1/5/20 18:05,2,,,,,
1/5/20 18:05,15,,,,,
1/5/20 18:05,7,,,,,
1/5/20 18:05,14,,,,,
1/5/20 18:05,15,,,,,
1/5/20 18:05,9,,,,,
1/5/20 18:05,10,,,,,
1/5/20 18:06,9,,,,,
1/5/20 18:06,10,,,,,
1/5/20 18:06,10,,,,,
1/5/20 18:06,8,,,,,
1/5/20 18:06,9,,,,,
1/5/20 18:06,11,,,,,
1/5/20 18:06,9,,,,,
1/5/20 18:06,8,,,,,
1/5/20 18:06,9,,,,,
1/5/20 18:06,10,,,,,
1/5/20 18:06,6,,,,,
1/5/20 18:07,9,,,,,
